first name,last name,image_href,gender,age,birthdate_x,birthdate_y,Zodiac Name,occupation,hometown,entered,left,status,spouses,children
Jessica,Hayes,https://static.wikia.nocookie.net/loveisland/images/a/ac/S1_Jessica_Hayes.jpg/revision/latest?cb=20200628152216,Female,31,"April 22, 1993",22-04-1993,Taurus,Model,"Oxford, England",Day 1,Day 41,Winner,Zeb (fiancé),"Presley (son, b. 2019)"
Max,Morley,https://static.wikia.nocookie.net/loveisland/images/e/ea/S1_Max_Morley.jpg/revision/latest?cb=20200628154739,Male,31,"January 24, 1993",24-01-1993,Aquarius,Professional cricketer,"Huddersfield, England",Day 14,Day 41,Winner,,
Hannah,Elizabeth,https://static.wikia.nocookie.net/loveisland/images/0/0b/All_Stars_Hannah_Elizabeth.jpg/revision/latest?cb=20240118211845,Female,34,"March 9, 1990",09-03-1990,Pisces,Model and Playboy bunny,"Liverpool, England",Day 1,Day 41,Runner-Up,,"Reggie (son, b. 2019)"
Jon,Clark,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Jon_Clark.jpg/revision/latest?cb=20190801162541,Male,34,"September 6, 1989",06-09-1989,Virgo,Builder,"Essex, England",Day 1,Day 41,Runner-Up,,
Josh,Ritchie,https://static.wikia.nocookie.net/loveisland/images/1/1d/All_Stars_Josh_Ritchie.jpg/revision/latest?cb=20240120023203,Male,29,"May 21, 1994",21-05-1994,Gemini,Joiner,"Bolton, England",Day 1,Day 41,3rd Place,,
Lauren,Richardson,https://static.wikia.nocookie.net/loveisland/images/d/df/S1_Lauren_Richardson.jpg/revision/latest?cb=20190801162551,Female,35,"January 29, 1989",29-01-1989,Aquarius,Community sports officer (former)PE Teacher,"East London, England",Day 1,Day 41,3rd Place,,
Cally Jane,Beech,https://static.wikia.nocookie.net/loveisland/images/5/54/S1_Cally_Jane_Beech.jpg/revision/latest?cb=20200630095904,Female,32,"October 1, 1991",01-10-1991,Libra,Dental Nurse,"Kingston upon Hull, England",Day 21,Day 41,4th Place,DJ O'Neal (fiancé),"Vienna (daughter, b. 2017)"
Luis,Morrison,https://static.wikia.nocookie.net/loveisland/images/8/80/All_Stars_Luis_Morrison.jpg/revision/latest?cb=20240118211848,Male,29,"July 22, 1994",22-07-1994,Cancer,Football Player,"London, England",Day 1,Day 41,4th Place,,"Vienna (daughter, b. 2017)Romeo (son, b. 2022)"
Jordan,Ring,https://static.wikia.nocookie.net/loveisland/images/d/d4/S1_Jordan_Ring.jpg/revision/latest?cb=20190801162558,Male,40,"June 29, 1983",29-06-1983,Cancer,Hotel Groundsman,"Gloucester, England",Day 1,Day 35,Dumped,,
Zoe Basia,Brown,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Zoe_Basia_Brown.jpg/revision/latest?cb=20190801162559,Female,33,"November 26, 1990",26-11-1990,Sagittarius,Model,"South London, England",Day 1,Day 35,Dumped,,
