Unnamed: 0,name,birthdate,Day,Month,Year,Zodiac Sign,Zodiac Name
,Jessica Hayes,22-04-1993,22,4,1993.0,1,Taurus
,Max Morley,24-01-1993,24,1,1993.0,10,Aquarius
,Hannah Elizabeth,09-03-1990,9,3,1990.0,11,Pisces
,Jon Clark,06-09-1989,6,9,1989.0,5,Virgo
,Josh Ritchie,21-05-1994,21,5,1994.0,2,Gemini
,Lauren Richardson,29-01-1989,29,1,1989.0,10,Aquarius
,Cally Jane Beech,01-10-1991,1,10,1991.0,6,Libra
,Luis Morrison,22-07-1994,22,7,1994.0,3,Cancer
,Jordan Ring,29-06-1983,29,6,1983.0,3,Cancer
,Zoe Basia Brown,26-11-1990,26,11,1990.0,8,Sagittarius
,Ben Porter,10-06-1991,10,6,1991.0,2,Gemini
,Poppy Farnan,12-06-1993,12,6,1993.0,2,Gemini
,Naomi Ball,02-07-1991,2,7,1991.0,3,Cancer
,Travis Almond,19-01-1993,19,1,1993.0,9,Capricorn
,Omar Sultani,15-11-1992,15,11,1992.0,7,Scorpio
,Bethany Rogers,20-12-1995,20,12,1995.0,8,Sagittarius
,Daisy Muller,14-11-1990,14,11,1990.0,7,Scorpio
,Chris Williamson,28-11-1987,28,11,1987.0,8,Sagittarius
,Chris Baxter,08-08-1994,8,8,1994.0,4,Leo
,Danielle Pyne,10-09-1991,10,9,1991.0,5,Virgo
,Rachel Christie,24-07-1988,24,7,1988.0,4,Leo
,John Alberti,06-05-1986,6,5,1986.0,1,Taurus
,Tony Alberti,06-05-1986,6,5,1986.0,1,Taurus
,Cara De La Hoyde-Massey,10-07-1990,10,7,1990.0,3,Cancer
,Nathan Massey,27-06-1992,27,6,1992.0,3,Cancer
,Alex Bowen,23-07-1991,23,7,1991.0,4,Leo
,Olivia Bowen,03-01-1994,3,1,1994.0,9,Capricorn
,Kady McDermott,04-09-1995,4,9,1995.0,5,Virgo
,Scott Thomas,11-08-1988,11,8,1988.0,4,Leo
,Adam Maxted,27-03-1992,27,3,1992.0,0,Aries
,Katie Salmon,24-11-1995,24,11,1995.0,8,Sagittarius
,Emma Jane Woodham,30-11-1996,30,11,1996.0,8,Sagittarius
,Terry Walsh,04-07-1988,4,7,1988.0,3,Cancer
,Adam Jukes,11-07-1992,11,7,1992.0,3,Cancer
,Lauren Whiteside,06-07-1990,6,7,1990.0,3,Cancer
,Tina Stinnes,25-02-1995,25,2,1995.0,11,Pisces
,Sophie Gradon,25-10-1985,25,10,1985.0,7,Scorpio
,Troy Frith,10-09-1993,10,9,1993.0,5,Virgo
,Tom Powell,26-12-1991,26,12,1991.0,9,Capricorn
,Liana Isadora Van Riel,09-08-1995,9,8,1995.0,4,Leo
,Oliver Maxwell Fernandez,,1,1,,9,Capricorn
,Malin Andersson,20-10-1992,20,10,1992.0,6,Libra
,Zara Holland,24-08-1995,24,8,1995.0,5,Virgo
,James Khan,03-05-1996,3,5,1996.0,1,Taurus
,Rykard Jenkins,10-03-1991,10,3,1991.0,11,Pisces
,Daniel Lukakis,24-01-1992,24,1,1992.0,10,Aquarius
,Rachel Fenton,18-09-1992,18,9,1992.0,5,Virgo
,Malia Arkian,24-06-1989,24,6,1989.0,3,Cancer
,Javi Shephard,12-05-1989,12,5,1989.0,1,Taurus
,Amber Davies,04-10-1996,4,10,1996.0,6,Libra
,Kem Cetinay,25-04-1996,25,4,1996.0,1,Taurus
,Camilla Thurlow,09-07-1989,9,7,1989.0,3,Cancer
,Jamie Jewitt,06-05-1990,6,5,1990.0,1,Taurus
,Chris Hughes,22-12-1992,22,12,1992.0,9,Capricorn
,Olivia Attwood,02-05-1991,2,5,1991.0,1,Taurus
,Gabby Allen,06-02-1992,6,2,1992.0,10,Aquarius
,Marcel Somerville,07-01-1986,7,1,1986.0,9,Capricorn
,Alex Beattie,06-11-1994,6,11,1994.0,7,Scorpio
,Montana Brown,29-08-1995,29,8,1995.0,5,Virgo
,Georgia Harrison,12-12-1994,12,12,1994.0,8,Sagittarius
,Sam Gowland,02-08-1995,2,8,1995.0,4,Leo
,Mike Thalassitis,19-01-1993,19,1,1993.0,9,Capricorn
,Tyla Carr,29-01-1993,29,1,1993.0,10,Aquarius
,Theo Campbell,14-07-1991,14,7,1991.0,3,Cancer
,Jonny Mitchell,21-02-1991,21,2,1991.0,11,Pisces
,Craig Lawson,31-07-1990,31,7,1990.0,4,Leo
,Nathan Joseph,01-02-1992,1,2,1992.0,10,Aquarius
,Danielle Sellers,14-05-1995,14,5,1995.0,1,Taurus
,Chyna Ellis,24-08-1994,24,8,1994.0,5,Virgo
,Amelia Peters,08-11-1998,8,11,1998.0,7,Scorpio
,Dominic Lever,24-01-1991,24,1,1991.0,10,Aquarius
,Ellisha-Jade White,31-07-1994,31,7,1994.0,4,Leo
