,name,image_href,gender,age,birthdate,occupation,hometown,spouses,children,entered,left,status
0,Jessica Hayes,https://static.wikia.nocookie.net/loveisland/images/a/ac/S1_Jessica_Hayes.jpg/revision/latest?cb=20200628152216,Female,31,"April 22, 1993",Glamour model,"Oxford, England",Zeb (fiancé),"Presley (son, b. 2019)",Day 1,Day 41,Winner
1,Max Morley,https://static.wikia.nocookie.net/loveisland/images/e/ea/S1_Max_Morley.jpg/revision/latest?cb=20200628154739,Male,31,"January 24, 1993",Professional cricketer,"Huddersfield, England",,,Day 14,Day 41,Winner
2,Hannah Elizabeth,https://static.wikia.nocookie.net/loveisland/images/0/0b/All_Stars_Hannah_Elizabeth.jpg/revision/latest?cb=20240118211845,Female,34,"March 9, 1990",Glamour model and Playboy bunny,"Liverpool, England",,"Reggie (son, b. 2019)",Day 1,Day 41,Runner-Up
3,Jon Clark,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Jon_Clark.jpg/revision/latest?cb=20190801162541,Male,34,"September 6, 1989",Builder,"Essex, England",,,Day 1,Day 41,Runner-Up
4,Josh Ritchie,https://static.wikia.nocookie.net/loveisland/images/1/1d/All_Stars_Josh_Ritchie.jpg/revision/latest?cb=20240120023203,Male,29,"May 21, 1994",Joiner,"Bolton, England",,,Day 1,Day 41,3rd Place
5,Lauren Richardson,https://static.wikia.nocookie.net/loveisland/images/d/df/S1_Lauren_Richardson.jpg/revision/latest?cb=20190801162551,Female,35,"January 29, 1989",Community sports officer (former)PE Teacher,"East London, England",,,Day 1,Day 41,3rd Place
6,Cally Jane Beech,https://static.wikia.nocookie.net/loveisland/images/5/54/S1_Cally_Jane_Beech.jpg/revision/latest?cb=20200630095904,Female,32,"October 1, 1991",Dental Nurse,"Kingston upon Hull, England",DJ O'Neal (fiancé),"Vienna (daughter, b. 2017)",Day 21,Day 41,4th Place
7,Luis Morrison,https://static.wikia.nocookie.net/loveisland/images/8/80/All_Stars_Luis_Morrison.jpg/revision/latest?cb=20240118211848,Male,29,"July 22, 1994",Former professional footballer,"London, England",,"Vienna (daughter, b. 2017)Romeo (son, b. 2022)",Day 1,Day 41,4th Place
8,Jordan Ring,https://static.wikia.nocookie.net/loveisland/images/d/d4/S1_Jordan_Ring.jpg/revision/latest?cb=20190801162558,Male,40,"June 29, 1983",Hotel Groundsman,"Gloucester, England",,,Day 1,Day 35,Dumped
9,Zoe Basia Brown,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Zoe_Basia_Brown.jpg/revision/latest?cb=20190801162559,Female,33,"November 26, 1990",High fashion model,"South London, England",,,Day 1,Day 35,Dumped
10,Ben Porter,https://static.wikia.nocookie.net/loveisland/images/1/1e/S1_Ben_Porter.jpg/revision/latest?cb=20200630092023,Male,32,"June 10, 1991",Junior Manager,"Wakefield, England",,"Jaxon (son, b. 2019)",Day 32,Day 33,Dumped
11,Poppy Farnan,https://static.wikia.nocookie.net/loveisland/images/c/ce/S1_Poppy_Farnan.jpg/revision/latest?cb=20200630100317,Female,30,"June 12, 1993",Online boutique owner,"Cheshire, England",,,Day 32,Day 33,Dumped
12,Naomi Ball,https://static.wikia.nocookie.net/loveisland/images/8/86/S1_Naomi_Ball.jpg/revision/latest?cb=20200630100316,Female,32,"July 2, 1991",Operations manager,"East London, England",,,Day 7,Day 28,Dumped
13,Travis Almond,https://static.wikia.nocookie.net/loveisland/images/2/2a/S1_Travis_Almond.jpg/revision/latest?cb=20200630092024,Male,31,"January 19, 1993","PT, Butler in the Buff and Bouncer","Essex, England",,,Day 21,Day 28,Dumped
14,Omar Sultani,https://static.wikia.nocookie.net/loveisland/images/1/11/S1_Omar_Sultani.jpg/revision/latest?cb=20190801162553,Male,31,"November 15, 1992",IT Recruiter,"Warwickshire, England",,,Day 1,Day 21,Dumped
15,Bethany Rogers,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Bethany_Rogers.jpg/revision/latest?cb=20200630091257,Female,28,"December 20, 1995",,"Leeds, England",,Heidi Rose (daughter),Day 14,Day 21,Dumped
16,Daisy Muller,https://static.wikia.nocookie.net/loveisland/images/4/44/S1_Daisy_Muller.jpg/revision/latest?cb=20200630090323,Female,33,"November 14, 1990",Glamour model,"Birmingham, England",,,Day 7,Day 19,Dumped
17,Chris Williamson,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Chris_Williamson.jpg/revision/latest?cb=20190801162555,Male,36,"November 28, 1987",Model and club promoter,"Newcastle, England",,,Day 1,Day 19,Dumped
18,Chris Baxter,https://static.wikia.nocookie.net/loveisland/images/a/aa/S1_Chris_Baxter.jpg/revision/latest?cb=20200628155956,Male,29,"August 8, 1994",Personal trainer,"London, England",,,Day 11,Day 14,Dumped
19,Danielle Pyne,https://static.wikia.nocookie.net/loveisland/images/b/ba/S1_Danielle_Pyne.jpg/revision/latest?cb=20190801162550,Female,32,"September 10, 1991",West End Marketing Executive,"London, England",,,Day 1,Day 14,Dumped
20,Rachel Christie,https://static.wikia.nocookie.net/loveisland/images/9/9e/S1_Rachel_Christie.jpg/revision/latest?cb=20190801162554,Female,35,"July 24, 1988",Former athlete and model,"London, England",,,Day 1,Day 11,Dumped
21,John Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",Property developer,"Manchester, England",,,Day 3,Day 6,Dumped
22,Tony Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",Property developer,"Manchester, England",,,Day 3,Day 6,Dumped
23,Cara De La Hoyde-Massey,https://static.wikia.nocookie.net/loveisland/images/c/c7/S2_Cara_De_La_Hoyde.jpg/revision/latest?cb=20200129233836,Female,33,"July 10, 1990",International Circus performer,"Kent, England","Nathan Massey (husband, m. 2019)","Freddie-George (son, b. 2017)Delilah (daughter, b. 2020)",Day 1,Day 45,Winner
24,Nathan Massey,https://static.wikia.nocookie.net/loveisland/images/7/77/S2_Nathan_Massey.jpg/revision/latest?cb=20200129233837,Male,31,"June 27, 1992",Carpenter,"Essex, England","Cara De La Hoyde (wife, m. 2019)","Freddie-George (son, b. 2017)Delilah (b. 2020)",Day 1,Day 45,Winner
25,Alex Bowen,https://static.wikia.nocookie.net/loveisland/images/1/17/S2_Alex_Bowen.png/revision/latest?cb=20200701211520,Male,32,"July 23, 1991",Scaffolder,"Birmingham, England","Olivia Buckland (wife, m. 2018)","Abel (son, b. 2022)",Day 18,Day 45,Runner-Up
